id,name,position
14309,"Frankie Montas",P
1581,"Sean Doolittle",P
9059,"John Axford",P
11294,"Zach Neal",P
14832,"Bobby Wahl",P
10946,"Josh Smith",P
4544,"Chris Smith",P
14506,"J.B. Wendelken",P
4772,"Felix Hernandez",P
11828,"James Paxton",P
13048,"Hisashi Iwakuma",P
8173,"Yovani Gallardo",P
17526,"Ariel Miranda",P
11760,"Drew Smyly",P
15036,"Chase De Jong",P
10925,"Christian Bergman",P
sa874809,"Andrew Moore",P
15627,"Dillon Overton",P
14165,"Rob Whalen",P
14710,"Edwin Diaz",P
7555,"Nick Vincent",P
12876,"Tony Zych",P
6483,"Steve Cishek",P
13323,"James Pazos",P
6612,"Marc Rzepczynski",P
16507,"Dan Altavilla",P
3220,"Jean Machi",P
12778,"Sam Gaviglio",P
16684,"Zac Curtis",P
14771,"Emilio Pagan",P
12297,"Evan Marshall",P
7525,"Evan Scribner",P
14200,"Shae Simmons",P
11121,"Casey Lawrence",P
6345,"Chris Archer",P
6397,"Jake Odorizzi",P
6562,"Alex Cobb",P
12022,"Matt Andriese",P
10314,"Erasmo Ramirez",P
13543,"Blake Snell",P
15463,"Jose De Leon",P
sa598097,"Jacob Faria",P
sa708975,"Jaime Schultz",P
sa658913,"Hunter Wood",P
sa597787,"Taylor Guerrieri",P
15290,"Austin Pruitt",P
16419,"Chih-Wei Hu",P
6661,"Alex Colome",P
36,"Xavier Cedeno",P
8501,"Danny Farquhar",P
3397,"Jumbo Diaz",P
15947,"Ryne Stanek",P
1157,"Tommy Hunter",P
10982,"Chase Whitley",P
6238,"Diego Moreno",P
17780,"Jose Alvarado",P
14016,"Ryan Garton",P
10481,"Shawn Tolleson",P
10133,"Brad Boxberger",P
sa735841,"Kevin Gadea",P
13074,"Yu Darvish",P
6902,"Martin Perez",P
11132,"A.J. Griffin",P
8782,"Andrew Cashner",P
4972,"Cole Hamels",P
7872,"Tyson Ross",P
12730,"Nick Martinez",P
12890,"Alex Claudio",P
7396,"Dillon Gee",P
sa550247,"Connor Sadzeck",P
13796,"Tyler Wagner",P
sa598302,"Clayton Blackburn",P
3555,"Tony Barnette",P
1246,"Matt Bush",P
14524,"Jose Leclerc",P
9490,"Jeremy Jeffress",P
11710,"Sam Dyson",P
14696,"Keone Kela",P
14239,"Dario Alvarez",P
7982,"Anthony Bass",P
5003,"Jake Diekman",P
9559,"Austin Bibens-Dirkx",P
6911,"Eddie Gamboa",P
14391,"Yohander Mendez",P
10267,"Tanner Scheppers",P
sa550711,"Harold Ramirez",P
13431,"Marcus Stroman",P
1118,"Marco Estrada",P
11490,"Aaron Sanchez",P
7410,"J.A. Happ",P
13194,"Joe Biagini",P
3201,"Francisco Liriano",P
11137,"Mike Bolsinger",P
sa737829,"Conner Greene",P
sa658266,"Ryan Borucki",P
13764,"Roberto Osuna",P
3281,"Joe Smith",P
10291,"Ryan Tepera",P
11388,"Danny Barnes",P
10343,"Aaron Loup",P
521,"Jason Grilli",P
13763,"Dominic Leone",P
8245,"J.P. Howell",P
14844,"Matt Dermody",P
12277,"Leonel Campos",P
sa199533,"Chris Smith",P
9013,"Cesar Valdez",P
sa738220,"Glenn Sparkman",P
5028,"Bo Schultz",P
1943,"Zack Greinke",P
9323,"Patrick Corbin",P
11486,"Robbie Ray",P
11836,"Taijuan Walker",P
14862,"Zack Godley",P
15158,"Braden Shipley",P
5985,"Randall Delgado",P
2047,"Jorge de la Rosa",P
sa599510,"Anthony Banda",P
494,"Fernando Rodney",P
12918,"Archie Bradley",P
12988,"Andrew Chafin",P
9975,"Tom Wilhelmsen",P
13322,"Jake Barrett",P
9037,"J.J. Hoover",P
3237,"T.J. McFarland",P
15293,"Steve Hathaway",P
15051,"Silvino Bracho",P
13420,"Matt Koch",P
sa737897,"Jimmie Sherfy",P
6797,"Julio Teheran",P
10811,"Mike Foltynewicz",P
375,"Bartolo Colon",P
1245,"R.A. Dickey",P
8137,"Jaime Garcia",P
12804,"Matt Wisler",P
14934,"Aaron Blair",P
sa657860,"Max Fried",P
3656,"Jim Johnson",P
5498,"Arodys Vizcaino",P
12975,"Mauricio Cabrera",P
10066,"Ian Krol",P
10171,"Jose Ramirez",P
5746,"Eric O'Flaherty",P
5861,"Jason Motte",P
6832,"Sam Freeman",P
9866,"Chaz Roe",P
11752,"Luke Jackson",P
3895,"Enrique Burgos",P
14914,"Jason Hursh",P
