id,name,position
2434,"Nelson Cruz",DH/OF
sa549926,"D.J. Peterson",1B
6867,"Derek Norris",C
1433,"Wilson Ramos",C
5942,"Jesus Sucre",C
12510,"Curt Casali",C
9205,"Logan Morrison",1B/OF
1849,"Rickie Weeks Jr.",2B
12775,"Brad Miller",SS
14145,"Daniel Robertson",2B/3B
7949,"Tim Beckham",2B/SS
7358,"Michael Martinez",2B/OF
13836,"Matt Duffy",3B
sa736655,"Willy Adames",SS
9368,"Evan Longoria",3B
9893,"Colby Rasmus",OF
13608,"Mallex Smith",OF
10762,"Corey Dickerson",OF
sa737848,"Jake Bauers",1B
11038,"Kevin Kiermaier",OF
2578,"Peter Bourjos",OF
5667,"Steven Souza Jr.",OF
7870,"Jonathan Lucroy",C
3142,"Robinson Chirinos",C
11192,"Brett Nicholas",C
3057,"Mike Napoli",C/1B
14128,"Joey Gallo",3B
12409,"Ryan Rua",1B/OF
sa659670,"Ronald Guzman",1B
12282,"Rougned Odor",2B
2539,"Pete Kozma",SS
11902,"Hanser Alberto",2B
10815,"Jurickson Profar",2B
11761,"Drew Robinson",DH
8709,"Elvis Andrus",SS
639,"Adrian Beltre",3B
11379,"Delino DeShields",OF
14553,"Nomar Mazara",OF
4881,"Carlos Gomez",OF
10882,"Jared Hoying",OF
3174,"Shin-Soo Choo",OF
4616,"Russell Martin",C
13355,"Luke Maile",C
9054,"Justin Smoak",1B
9957,"Steve Pearce",1B/OF
8610,"Kendrys Morales",1B/DH
sa738437,"Rowdy Tellez",1B
13862,"Devon Travis",2B
2430,"Darwin Barney",2B
9807,"Ryan Goins",2B/SS
3531,"Troy Tulowitzki",SS
sa736829,"Richard Urena",SS
5038,"Josh Donaldson",3B
6878,"Chris Coghlan",OF
9048,"Ezequiel Carrera",OF
13473,"Dwight Smith",OF
12434,"Kevin Pillar",OF
14329,"Anthony Alford",OF
1887,"Jose Bautista",OF
9954,"Darrell Ceciliani",OF
12797,"Dalton Pompey",OF
8267,"Chris Iannetta",C
3448,"Jeff Mathis",C
9284,"Chris Herrmann",C/OF
13490,"Oscar Hernandez",C
9218,"Paul Goldschmidt",1B
8392,"Daniel Descalso",2B/3B/SS
11615,"Brandon Drury",2B/OF
10030,"Chris Owings",2B/SS
13613,"Ketel Marte",SS
12147,"Nick Ahmed",SS
sa549854,"Jack Reinheimer",2B/SS
sa504705,"Ildemaro Vargas",2B
13329,"Jake Lamb",3B
